SiteName,SignupUrl
open.mit.edu,https://open.mit.edu/register
institutocrecer.edu.co,https://institutocrecer.edu.co/registro-de-estudiante/
aiti.edu.vn,https://aiti.edu.vn/register/
ensp.edu.mx,https://ensp.edu.mx/cuenta-del-usuario/?mode=register
edu.learningsuite.id,https://edu.learningsuite.id/student-registration-page
triumph.srivenkateshwaraa.edu.in,https://triumph.srivenkateshwaraa.edu.in/register
faculdadelife.com.br,https://faculdadelife.com.br/account/?action=register
www.lasallesancristobal.edu.mx,https://www.lasallesancristobal.edu.mx/profile/travisflores18086/profile
learndash.aula.edu.pe,https://learndash.aula.edu.pe/register/
sou.edu.kg,https://sou.edu.kg/student-registration/
academy.edutic.id,https://academy.edutic.id/student-registration/
jobs.lifewest.edu,https://jobs.lifewest.edu/login-register/
centennialacademy.edu.lk,https://centennialacademy.edu.lk/register/
bbiny.edu,https://bbiny.edu/student-registration/
huayra.educar.gob.ar,https://huayra.educar.gob.ar/ayuda/?qa=register
intranet.estvgti-becora.edu.tl,https://intranet.estvgti-becora.edu.tl/student-registration/
pibelearning.gov.bd,https://pibelearning.gov.bd/student-registration/
blac.edu.pl,https://blac.edu.pl/student-registration/
firstrainingsalud.edu.pe,https://firstrainingsalud.edu.pe/student-registration/
academia.sanpablo.edu.ec,https://academia.sanpablo.edu.ec/student-registration/
